No;Kode Wilayah;Provinsi;Komoditas;Tahun;Bulan;Koefisien Variasi
1;32;Jawa Barat;Minyak Goreng Kemasan;2021;Januari;4,56%
2;32;Jawa Barat;Minyak Goreng Kemasan;2021;Februari;4,66%
3;32;Jawa Barat;Minyak Goreng Kemasan;2021;Maret;5,27%
4;32;Jawa Barat;Minyak Goreng Kemasan;2021;April;6,30%
5;32;Jawa Barat;Minyak Goreng Kemasan;2021;Mei;5,33%
6;32;Jawa Barat;Minyak Goreng Kemasan;2021;Juni;5,39%
7;32;Jawa Barat;Minyak Goreng Kemasan;2021;Juli;5,11%
8;32;Jawa Barat;Minyak Goreng Kemasan;2021;Agustus;6,01%
9;32;Jawa Barat;Minyak Goreng Kemasan;2021;September;6,51%
10;32;Jawa Barat;Minyak Goreng Kemasan;2021;Oktober;7,47%
11;32;Jawa Barat;Minyak Goreng Kemasan;2021;November;9,12%
12;32;Jawa Barat;Minyak Goreng Kemasan;2021;Desember;6,60%
13;32;Jawa Barat;Minyak Goreng Kemasan;2022;Januari;7,97%
14;32;Jawa Barat;Minyak Goreng Kemasan;2022;Februari;10,86%
15;32;Jawa Barat;Minyak Goreng Kemasan;2022;Maret;16,67%
16;32;Jawa Barat;Minyak Goreng Kemasan;2022;April;9,84%
17;32;Jawa Barat;Minyak Goreng Kemasan;2022;Mei;5,69%
18;32;Jawa Barat;Minyak Goreng Kemasan;2022;Juni;8,91%
19;32;Jawa Barat;Minyak Goreng Kemasan;2022;Juli;10,86%
20;32;Jawa Barat;Minyak Goreng Kemasan;2022;Agustus;15,28%
21;32;Jawa Barat;Minyak Goreng Kemasan;2022;September;16,32%
22;32;Jawa Barat;Minyak Goreng Kemasan;2022;Oktober;16,87%
23;32;Jawa Barat;Minyak Goreng Kemasan;2022;November;16,15%
24;32;Jawa Barat;Minyak Goreng Kemasan;2022;Desember;15,21%
25;32;Jawa Barat;Minyak Goreng Kemasan;2023;Januari;13,70%
26;32;Jawa Barat;Minyak Goreng Kemasan;2023;Februari;12,70%
27;32;Jawa Barat;Minyak Goreng Kemasan;2023;Maret;13,23%
28;32;Jawa Barat;Minyak Goreng Kemasan;2023;April;12,87%
29;32;Jawa Barat;Minyak Goreng Kemasan;2023;Mei;12,52%
30;32;Jawa Barat;Minyak Goreng Kemasan;2023;Juni;12,68%
31;32;Jawa Barat;Minyak Goreng Kemasan;2023;Juli;12,05%
32;32;Jawa Barat;Minyak Goreng Kemasan;2023;Agustus;11,88%
33;32;Jawa Barat;Minyak Goreng Kemasan;2023;September;12,21%
34;32;Jawa Barat;Minyak Goreng Kemasan;2023;Oktober;12,17%
35;32;Jawa Barat;Minyak Goreng Kemasan;2023;November;11,47%
36;32;Jawa Barat;Minyak Goreng Kemasan;2023;Desember;11,34%
37;32;Jawa Barat;Minyak Goreng Kemasan;2024;Januari;10,04%
38;32;Jawa Barat;Minyak Goreng Kemasan;2024;Februari;8,05%
39;32;Jawa Barat;Minyak Goreng Kemasan;2024;Maret;7,42%
40;32;Jawa Barat;Minyak Goreng Kemasan;2024;April;7,12%
41;32;Jawa Barat;Minyak Goreng Kemasan;2024;Mei;6,73%
42;32;Jawa Barat;Minyak Goreng Kemasan;2024;Juni;6,56%
43;32;Jawa Barat;Minyak Goreng Kemasan;2024;Juli;7,49%
44;32;Jawa Barat;Minyak Goreng Kemasan;2024;Agustus;7,51%
45;32;Jawa Barat;Minyak Goreng Kemasan;2024;September;7,21%
46;32;Jawa Barat;Minyak Goreng Kemasan;2024;Oktober;7,16%
47;32;Jawa Barat;Minyak Goreng Kemasan;2024;November;7,67%
48;32;Jawa Barat;Minyak Goreng Kemasan;2024;Desember;7,62%
