No;Kode Wiayah;Provinsi;Komoditas;Tahun;Bulan;Koefisien Variasi
1;32;Jawa Barat;Telur Ayam ;2021;Januari;6,49%
2;32;Jawa Barat;Telur Ayam ;2021;Februari;6,26%
3;32;Jawa Barat;Telur Ayam ;2021;Maret;5,00%
4;32;Jawa Barat;Telur Ayam ;2021;April;5,50%
5;32;Jawa Barat;Telur Ayam ;2021;Mei;4,66%
6;32;Jawa Barat;Telur Ayam ;2021;Juni;5,48%
7;32;Jawa Barat;Telur Ayam ;2021;Juli;4,52%
8;32;Jawa Barat;Telur Ayam ;2021;Agustus;5,10%
9;32;Jawa Barat;Telur Ayam ;2021;September;6,90%
10;32;Jawa Barat;Telur Ayam ;2021;Oktober;5,12%
11;32;Jawa Barat;Telur Ayam ;2021;November;9,03%
12;32;Jawa Barat;Telur Ayam ;2021;Desember;13,34%
13;32;Jawa Barat;Telur Ayam ;2022;Januari;11,62%
14;32;Jawa Barat;Telur Ayam ;2022;Februari;6,82%
15;32;Jawa Barat;Telur Ayam ;2022;Maret;5,67%
16;32;Jawa Barat;Telur Ayam ;2022;April;4,76%
17;32;Jawa Barat;Telur Ayam ;2022;Mei;3,72%
18;32;Jawa Barat;Telur Ayam ;2022;Juni;6,27%
19;32;Jawa Barat;Telur Ayam ;2022;Juli;4,75%
20;32;Jawa Barat;Telur Ayam ;2022;Agustus;6,54%
21;32;Jawa Barat;Telur Ayam ;2022;September;6,52%
22;32;Jawa Barat;Telur Ayam ;2022;Oktober;5,27%
23;32;Jawa Barat;Telur Ayam ;2022;November;6,06%
24;32;Jawa Barat;Telur Ayam ;2022;Desember;4,73%
25;32;Jawa Barat;Telur Ayam ;2023;Januari;2,87%
26;32;Jawa Barat;Telur Ayam ;2023;Februari;3,44%
27;32;Jawa Barat;Telur Ayam ;2023;Maret;5,17%
28;32;Jawa Barat;Telur Ayam ;2023;April;4,17%
29;32;Jawa Barat;Telur Ayam ;2023;Mei;4,45%
30;32;Jawa Barat;Telur Ayam ;2023;Juni;2,79%
31;32;Jawa Barat;Telur Ayam ;2023;Juli;2,15%
32;32;Jawa Barat;Telur Ayam ;2023;Agustus;5,86%
33;32;Jawa Barat;Telur Ayam ;2023;September;4,23%
34;32;Jawa Barat;Telur Ayam ;2023;Oktober;2,92%
35;32;Jawa Barat;Telur Ayam ;2023;November;3,21%
36;32;Jawa Barat;Telur Ayam ;2023;Desember;3,81%
37;32;Jawa Barat;Telur Ayam;2024;Januari;3,76%
38;32;Jawa Barat;Telur Ayam;2024;Februari;5,09%
39;32;Jawa Barat;Telur Ayam;2024;Maret;4,23%
40;32;Jawa Barat;Telur Ayam;2024;April;4,14%
41;32;Jawa Barat;Telur Ayam;2024;Mei;4,14%
42;32;Jawa Barat;Telur Ayam;2024;Juni;4,69%
43;32;Jawa Barat;Telur Ayam;2024;Juli;3,23%
44;32;Jawa Barat;Telur Ayam;2024;Agustus;3,72%
45;32;Jawa Barat;Telur Ayam;2024;September;3,46%
46;32;Jawa Barat;Telur Ayam;2024;Oktober;3,25%
47;32;Jawa Barat;Telur Ayam;2024;November;3,65%
48;32;Jawa Barat;Telur Ayam;2024;Desember;7,31%
